Item,Count,Total Cost
CHX BRST JMB,228,$14257.60
BF INS RND XT SEL  R/W,177,$24697.88
PD SQUASH ITALN MD,172,$3564.37
PD BROC CROWNS DW,171,$4818.68
CHX HAL BRST JMB,164,$10134.40
Sub-Total,152,$99570.53
Tax,152,$8561.90
Total,152,$108132.43
Balance,152,$709.56
PD CARROT JMBO 25#,125,$2086.29
PD POTATO RED A #2,118,$3161.18
CHX LEG QTR SM,106,$2544.40
CHX HAL LEG QTR SM,94,$2586.00
DEBIT    6866,88,$67197.98
QUINOA WHITE       5#,85,$2050.87
CONT SOUP CMB SC12,64,$1691.16
PD YAM JEWEL JBO,61,$1073.47
PD CABB GREEN SACK,48,$810.09
PD BRUSSEL SPROUT,47,$1746.96
DEBIT    0445,43,$31046.12
FRY PAN COATED 14I,37,$1395.64
CONT SOUP CMB SC16,30,$865.15
PD PINEAPPLE LGE,24,$412.49
PD HRB BASIL 1LB,23,$313.62
WINE CKING SHERRY  4/1GL,23,$447.96
PD CELERY BULK,22,$578.18
PD STRAWBERRY NATL,21,$202.18
PD ONION YEL JBO,20,$427.11
PD BEET SK 25 LB,19,$369.17
GLOVE NITRILE MED,16,$581.47
SPC GRAN ONION     5#,16,$364.68
SHRP P&D TO 16-20,15,$620.71
SPC GARLIC GRAN    7#,15,$355.06
TOM SAUCE HUNTS,14,$473.31
PD BERRY RASPBERRY,14,$114.47
TOM PETITE DICED,13,$323.71
PD KALE GREEN 24CT,13,$180.65
SCE SWEET CHILI    32Z,13,$396.81
DAWN ORIGINAL PUMP,13,$164.20
GLV EXAM NIT BL LG,13,$457.80
PD HRB DILL 1LB,13,$56.43
FSH TUNA AHI LOIN,12,$1332.00
CHILI DICED,12,$406.31
MC/VISA  6866,12,$8297.89
PD CUCUMBER SEL 72,12,$200.43
PD MUSH MEDIUM 10#,11,$137.85
DAWN HVY DTY PUMP  1GAL,11,$281.59
PD TOMATO 25LB XL,11,$86.98
PD MUSH PORTABELLA,10,$96.19
CONT REC BLK 28Z,10,$425.34
PD MUSH CRIMINI 5#,10,$57.62
BEAN BLACK,10,$149.45
PD PPR BELL GREEN,9,$119.28
GRAPESEED OIL 100%,9,$770.60
HONEY EXTRA LT AMB,9,$347.03
CONT SOUP CMB SC24,9,$345.72
PD HRB MINT,9,$21.15
TOWEL TERRY 75CT   75CT,9,$244.97
FSH SALM PINK 6Z,8,$340.74
PD CUCUMBER HH BLK,8,$79.39
SPC PEPR BLK GRND  5LB,8,$178.51
PD BERRY BLUE PINT,8,$148.74
VINEGR WINE RED    1GL,8,$78.19
DAMAGES DELI,8,$201.00
PD GARLIC SPAINPLD,8,$101.15
PDU GINGER FR 5LBS,8,$49.06
SYRUP MOLASSES CQ,8,$140.68
WELCHS FRUIT SNACK 2.25OZ,8,$80.30
PD PPR JALAPENO CS,7,$243.29
PD PPR BELL RED LG,7,$162.85
PD HRB OREGANO,7,$24.50
PD HRB THYME 1LB,7,$30.48
PD CARROT BULK 50#,7,$54.46
ORANGE THUN CITRUS,6,$166.97
PD TOMATO ROMA XL,6,$63.40
PD ORG ARUGULA BBY,6,$28.26
PDU LEMON 5#,6,$51.32
PD ONION RED 25#,6,$76.14
PD MUSH SMALL 10LB,6,$56.49
PD TOMATILLO CS,6,$78.58
SALT IODIZED ROUND,5,$73.46
PD LIMES 200CT,5,$187.98
SALT KOSHER MRTON,5,$121.36
PD CAUL 1CT,5,$30.85
GLOVE VNL LG PF,5,$115.50
FABULOSO LAVENDER  169Z,5,$172.15
MILK COCONUT CHAOK 6/#10,5,$321.63
PD RADISH SACK 25#,5,$88.28
PD GRNS COLLARD 24,5,$64.50
SPC CAJUN SEASONIN 6LB,5,$119.22
BF INS RDN XT CH   R/W,5,$654.27
PD MELON HONEY,5,$41.45
PD BERRY BLACK 6OZ,5,$93.17
PD WATERMELON BIN,4,$38.33
PD MUSH LARGE 10LB,4,$70.15
PD SPINACH CLEAN,4,$22.79
CONT SOUP CMB SC8,4,$107.22
PD ORG SPINCH BABY,4,$18.86
PD ASPARAGUS BAG,4,$100.47
PD LETT ROMAINE HT,4,$42.35
SHRP EZPEEL 16-20,4,$222.31
RF SALMON COHO FLT,4,$82.69
XX CHX LEG QTR FRZ 40#,4,$24.00
PD AVOCADO HASS HG,4,$42.07
QUALITE MIX GLASS,4,$41.99
GLOVE NITRILE LRG,3,$46.21
PD CILANTRO 30CT,3,$23.26
VALENTINA BLACK,3,$53.99
GREEN LENTILS,3,$20.00
HONEY LT AMBER CQ,3,$167.73
CASH,3,$1191.00
PD HRB ROSEMARY,3,$21.36
TOPO CHICO MINERAL 12Z,3,$86.94
TOM SUNDRY JULIENN 5LB,3,$35.06
VINEGAR BLSMC 1DMD 5LTR,3,$49.48
PD LEMON CH 75/115,3,$57.13
CHX LEG QTR JMB,3,$88.80
SAUCE FISH SQUID   25Z,3,$62.94
SP ITALIAN SEASNG  2LB,3,$76.17
PD BEAN GRN TRIMED,3,$38.72
FSH SALM CHUM 8Z,3,$144.34
NICOLE DINNER FORK DZN,3,$38.70
BOUILLON 7.25Z     RE AW,3,$71.37
PD MELON CANT,3,$35.22
BEAN GARBANZO,3,$46.12
BF FEET CUT/SLICED FRZ,3,$64.80
BF CHUCK ROLL SEL  R/W,3,$0.00
CAM RND 22QT WHT,3,$58.11
"QLT FRY PAN CTD    14""",3,$136.38
IOU PAYMNT 6425,2,$-35.93
OIL SEASAME PURE   56Z,2,$40.23
SAUCE REDHOT PLSTC 1GL  1,2,$28.56
PDU CELERY BAG 5CT,2,$20.46
GLV EXAM NIT BL M,2,$40.32
PD MUSH SLICED 10#,2,$13.62
PD PPR SERRANO CS,2,$35.51
CONT SOUP CMB SC32,2,$95.88
WINE CKING SAUTERN 4/1GL,2,$13.16
PD PPR HABANERO CS,2,$50.88
FIGS BLACK         28Z,2,$33.02
SALT SEA FINE DD,2,$43.77
FSH TUNA STEAK 4Z,2,$30.00
PDU MELON HONEY 2C,2,$15.76
RED LIGHT KIDNEY   25#,2,$45.20
DICER 1/4IN GS     4150-A,2,$0.00
PD CILANTRO 1#,2,$0.00
PD PPR PASILLA CS,2,$23.35
PD ORANGE 88CT,2,$15.59
PD ORG SUPER MIX,2,$18.70
HEARTS OF PALM SLC 28Z,2,$9.68
MOP CTN EXT HVY,2,$19.84
FSH SCAL PR 80-120,2,$97.32
PDU PPR HABANERO2#,2,$20.31
PDU PINEAPPLE 2CT,2,$11.69
CRAB DUNGE CLUSTER,2,$64.88
SCE SALT/CARAMEL,2,$2.71
PD ORG HERB MIX,2,$0.00
CHZ GOUDA SLICED,2,$0.00
XXCHX PRTY WNG FRZ,2,$0.00
TOM PASTE ISABELLA,2,$0.00
PD APPLE FUJI72-88,2,$66.45
TEA SWETND CONC,2,$33.89
THERMOMETER OVEN   3506,2,$20.50
PD MANGO LARGE,2,$18.30
CHOC/COCOA POWDER,2,$0.00
NICOLE SALAD FORK  DZ,2,$20.80
NICOLE TEASPOON    DZN,2,$18.64
NICOLE BOUIL SPN   1DZ,2,$20.34
CRAWFISH 150/200CT,2,$21.42
LID SFL 3.25-5Z,2,$61.71
BF SAB PSMO 5UP,2,$191.12
PD PPR JALAPENO 5#,2,$14.79
PD SHALLOT PEELED,2,$11.48
"STRAINER 14""DBLE M ESH RE",1,$51.00
LADLE S/S 2Z 1PC,1,$3.59
OS CRAISINS        48Z,1,$9.93
OIL SESAME LKK     56Z,1,$18.76
APRICOTS TURKISH   32Z,1,$13.48
SPC PEPPR BLK CAFE 5LB,1,$32.40
SCR PAD MED DUTY   96CC,1,$6.49
SPNGE GRN/YEL 74CC,1,$19.52
BF GRND 80%        R/W,1,$33.87
RED LENTILS,1,$24.63
QUINOA RED         2/5#,1,$22.56
TOMATO DRIED STRIP 4/5#,1,$19.11
SPONGE GRN/YEL,1,$6.27
GREEN SCRNG PADS,1,$5.55
SYRUP MAPLE 64Z,1,$25.68
WIN MANDOLINE SET,1,$70.84
WRTS HICKRY SEAS,1,$12.84
SCE SRIRACHA       28Z,1,$53.37
REG ROLL 7313SP,1,$21.06
SCRUBBER S/S 35G,1,$7.40
"LC 6"" FRG BONING   KNIFE",1,$10.28
"MNDL COOK KNF 8""",1,$16.69
DAWN-MSHD DGRSR,1,$23.33
SALT KOSHER MORTON,1,$35.22
FSH COD FLT 16-32,1,$115.00
SCRBBR STN/STL84CC,1,$8.61
PINE CLEANER,1,$7.29
VINEGAR WHITE HENZ 1GL,1,$28.79
PEPPER CHILI DRIED 6/5LB,1,$20.25
PEPPER CHIPOTLE,1,$10.86
PD CARROT BAG 10#,1,$36.00
IOU PAYMNT X3148,1,$-30.23
FSH FAROE SALM 8Z,1,$46.25
WAR IMM BLENDER 10,1,$249.99
JARRITOS VP GLASS  12.5Z,1,$22.39
FSH SNAPPER 1-2,1,$51.88
PD ON GRN ICELESS,1,$12.89
PD ORANGE 113CT,1,$24.47
PD COCONUT YOUNG,1,$23.30
SHRP P&D TO 21-25,1,$43.90
MUSTARD GRY POUPON 48Z,1,$20.62
FSH SCAL PRO 20-25,1,$94.17
GP WHOLE DILL,1,$8.21
PD GINGER FRSH 28#,1,$38.83
BEAN SMALL RED,1,$20.92
PD MICRO CILANTRO,1,$11.67
FSH SCAL DRY 8-9,1,$135.35
PD SQUASH YLW MED,1,$14.30
PD ONION RED 10#,1,$7.71
ROCHER 48PC CLB PK,1,$16.95
GLOVE NITRILE SM,1,$5.04
BROOM JANITOR,1,$12.23
SPRAY HEAD LL,1,$53.40
NICOLE DINNR KNIFE DZN,1,$17.02
IOU PAYMNT X1389,1,$-149.03
DEBIT    9634,1,$200.00
SQUID T&T CLN 3-5,1,$12.32
RF SHRP U/15 GULF,1,$39.95
KIK BAG MYLAR,1,$1.86
PD DATE MEDJOOL 2,1,$11.38
PD BEET 5 LB,1,$46.62
PD EGGPLANT 24CT,1,$18.05
FSH SQUID RING,1,$51.37
CUP SFL 5.5Z,1,$47.65
FLOUR SACKS 1DZ,1,$16.96
VINEGAR BALSMC 3DM 2/5LTR,1,$21.19
DISHER FOOD BL#16,1,$10.56
TEA UNSWETND CONC,1,$12.07
IOU PAYMNT 6984,1,$-294.93
PD LEMON CH 140,1,$34.08
FSH SALM CHUM 6Z,1,$58.90
MOP MAXICLEAN GRN,1,$8.74
SHRP P&D TO 26-30,1,$39.90
BLEACH AROCEP GERM 128Z,1,$19.99
SPC THYME          2LB,1,$18.90
VINEGAR CIDER 4%   1GL,1,$6.96
